,name,description
2722,idolle ramayana,"bhujanga, a gulf-returned tyrant and theatre enthusiast, is a known man in his town. his family life isn't the most cordial, given his temperament. he's forced to spend a night and a day locked in an empty shop with a sex worker."
2724,super,an nri follows love to india and ends up cleaning up the country it's politics
2725,naanu avanalla... avalu,"young maadesha has always felt like a woman from inside. while his small town parents dream of him being the 'man of the house', maadesha instead follows his heart and becomes a woman, ..."
2726,ricky,"city-bred wildlife conservationist ricky falls in love with a simple village girl radha. their love story takes an unexpected turn when ricky leaves on an outdoor assignment. set against, a..."
2728,shivalinga,"shivalinga is story weaved around a murder mystery. who killed rahim? why was he killed? is it murder of suicide, cid shivu (shivrajkumar) investigates the murder mystery. but, what is shivu's wife's involvement..."
2733,kaadu kudure,huligonda must break a wild horse belonging to the father of the girl he loves as a condition of marriage but is tricked into marrying her ugly sister.
2734,prathyartha,a group of kidnappers demands to retrieve akshay's daughter he has to murder the minister.
2735,sati sulochana,"a ramayana mythological told from the viewpoint of sulochana, daughter-in-law of the villain ravana. her husband indrajit, son of ravan wounds lakshman. lakshamana is revived by the ..."
2740,dana kayonu,"in a small village in karnataka lives docomo, a cowherd. he loves two things most, his bull and the village beauty jummi. coincidentally his bull loves jummi' cow two. ideal situation, ..."
2743,buguri,"buguri looks at how youngsters are when they start out in college, eager to have fun and find love. but by the last semester, their outlook towards life changes, as the focus shifts to ..."
2744,care of footpath 2,an emotional suspense thriller inspired by true stories of juvenile delinquents in the india. four teenage friends are provoked to plan and execute the murder of a cop.
2746,devara naadalli,"set against the coastal backdrop of north karnataka , 'devara naadalli' is the classic reflection of a society's reaction during times of adversity. a crude bomb explodes in a small town ..."
2747,samskara,"naranappa, a man born in the community of madhwa (a community of brahmins from karnataka) is dead in the agrahara of the village durvasapura. as per the madhwa customs, the last rites of ..."
2748,bengaloored,"an aspiring writer returns to his home-town, re-unites with his estranged father and child-hood sweetheart."
2749,kahi,"a series of events unfold in modern day bengaluru, intertwining four different lives: a dancer, a drug peddler, a writer and a psychopath."
2750,yajamana,story of a family of four brothers. a modern day take on the classic ramayana.
2751,ugramm,a man with a dangerous past must protect a girl from those are hell bent on killing her.
2752,first rank raju,"raju is a quintessential geek, who aims at always securing the first place. his parents sacrifice everything to ensure he is a consistent topper. what happens when he has to face the real world on his own?"
2760,"the tortoise, an incarnation",a low-level civil servant finds himself cast in the role of ghandi in a television serial because of his physical resemblance to the legendary leader.
2761,nagarhole,madhu takes 4 children on a dangerous visit to nagarhole wildlife sanctuary.
2763,simple agi ondh love story,"kushal (rakshit shetty) is sent by his radio jockey sister rachana to kodagu to meet her boyfriend's sister in the hope that the two will take a liking to each other, leading to marriage, ..."
2767,swaathi mutthu,a mentally disabled man marries a widow in a temple in front of all the people. then how they lives is the story.
2768,eradu kanasu,"the movie depicts the story of ramachandra rao, a college professor, who is newly married but hasn't come to terms with his previously failed relationship and the impact this has in his wife's life."
2774,last bus,"6 passengers board the last bus, anxious to reach their destination. but fate has other plans for them. shock, anxiety, deceit, anger, frustration, fear takes over this unexpected journey that twists and turns into a nightmare."
2775,oggarane,"a misplaced phone call connects two lonely people. however, when it's time to match faces to voices, both parties send younger representatives."
2776,chakravyuha,some seats are allotted to ministers in colleges . a minister asks more seats to be allotted to him . but college authority disagrees . the angry minister leaves his students in college to ...
2777,killing veerappan,describes the events leading to the capture and killing of notorious indian bandit veerappan.
2782,gulabi talkies,"gulabi is a discarded fifty something woman, an outcast living on an island with the fisher folk. her obsession for films is fulled with the introduction of a television in her life and her village hut becomes a hub."
2783,what?,the film revolves around three peoples and kidnapping of balkrishna about money.
2785,jai maruthi 800,"jai maruthi 800 is an action comedy that is set in two distinct time periods. the film begins with an incident that occurs in the 16th century, which reaches its logical conclusion in the present day."
2786,karva,"it is a two dimensional story, one trying to unveil an age old unknown mystery, and another experiencing the existence of the unknown. do these stories meet? what happens to the fate of those involved with the unknown ?"
